离乱	w
（	we
——	wi
￥	w[
…	w2
〔	w3
〕	w7
|	w8
℃	w9
—	w0
℉	w=_
・	w=e
：‘	wq
？	ww
）	wr
「	wt
」	wy
“	wu
‘	wue
『	wui
”	wo
’	woe
』	woi
：“	wp
〈	wa
〉	ws
、	wd
；	wf
：	wg
……	wh
！	wk
【	wl
】	w;
.	w'
·	wz
，“	wx
。“	wc
？”“	wv
！”“	wb
。”	wn
？”	wm
《	w,
》	w.
→	w/
了	r
的	u
，	o
。	'
©	|fh
®	|fh
℗	|fh
℠	|fh
™	|fh
℡	|fh
℻	|fh
☇	|fh
☈	|fh
☉	|fh
☊	|fh
☋	|fh
☌	|fh
☍	|fh
☎	|fh
☏	|fh
☐	|fh
☑	|fh
☒	|fh
☓	|fh
☕	|fh
☖	|fh
☗	|fh
⛉	|fh
⛊	|fh
☘	|fh
☙	|fh
☚	|fh
☛	|fh
☜	|fh
☝	|fh
☞	|fh
☟	|fh
☠	|fh
☡	|fh
☢	|fh
☣	|fh
☤	|fh
☥	|fh
☦	|fh
☧	|fh
☨	|fh
☩	|fh
☪	|fh
☫	|fh
☬	|fh
☭	|fh
☮	|fh
☯	|fh
☸	|fh
♨	|fh
♰	|fh
♱	|fh
♲	|fh
♳	|fh
♴	|fh
♵	|fh
♶	|fh
♷	|fh
♸	|fh
♹	|fh
♺	|fh
♻	|fh
♼	|fh
♽	|fh
♾	|fh
♿	|fh
⚆	|fh
⚇	|fh
⚈	|fh
⚉	|fh
⚐	|fh
⚑	|fh
⚒	|fh
⚓	|fh
⚔	|fh
⚕	|fh
⚖	|fh
⚗	|fh
⚘	|fh
⚙	|fh
⚚	|fh
⚛	|fh
⚜	|fh
⚝	|fh
⚞	|fh
⚟	|fh
⚠	|fh
⚡	|fh
⚰	|fh
⚱	|fh
⚲	|fh
⚳	|fh
⚴	|fh
⚵	|fh
⚶	|fh
⚷	|fh
⚸	|fh
⚹	|fh
⚺	|fh
⚻	|fh
⚼	|fh
⚽	|fh
⚾	|fh
⚿	|fh
⛀	|fh
⛁	|fh
⛂	|fh
⛃	|fh
⛋	|fh
⛌	|fh
⛍	|fh
⛎	|fh
⛏	|fh
⛐	|fh
⛑	|fh
⛒	|fh
⛓	|fh
⛔	|fh
⛕	|fh
⛖	|fh
⛗	|fh
⛘	|fh
⛙	|fh
⛚	|fh
⛛	|fh
⛜	|fh
⛝	|fh
⛞	|fh
⛟	|fh
⛠	|fh
⛡	|fh
⛢	|fh
⛣	|fh
⛨	|fh
⛩	|fh
⛪	|fh
⛫	|fh
⛬	|fh
⛭	|fh
⛮	|fh
⛯	|fh
⛰	|fh
⛱	|fh
⛲	|fh
⛳	|fh
⛴	|fh
⛵	|fh
⛶	|fh
⛷	|fh
⛸	|fh
⛹	|fh
⛺	|fh
⛻	|fh
⛼	|fh
⛽	|fh
⛾	|fh
⛿	|fh
❖	|dn
⌘	|dn
⌃	|dn
⌥	|dn
⎇	|dn
⇧	|dn
⇪	|dn
␣	|dn
⇥	|dn
⇤	|dn
↩	|dn
⌅	|dn
⌤	|dn
⌫	|dn
⌦	|dn
⌧	|dn
⎋	|dn
⌨	|dn
◁	|dn
⌀	|dn
⌖	|dn
⌗	|dn
⏏	|dn
↖	|dn
↘	|dn
⇞	|dn
⇟	|dn
⌚	|dn
⏰	|dn
⏱	|dn
⏲	|dn
⏳	|dn
⌛	|dn
⌜	|dn
⌝	|dn
⌞	|dn
⌟	|dn
⍑	|dn
⏩	|dn
⏪	|dn
⏫	|dn
⏬	|dn
⏭	|dn
⏮	|dn
⏯	|dn
♔	|xq
♕	|xq
♖	|xq
♗	|xq
♘	|xq
♙	|xq
♚	|xq
♛	|xq
♜	|xq
♝	|xq
♞	|xq
♟	|xq
🀀	|mj
🀁	|mj
🀂	|mj
🀃	|mj
🀄	|mj
🀅	|mj
🀆	|mj
🀇	|mj
🀈	|mj
🀉	|mj
🀊	|mj
🀋	|mj
🀌	|mj
🀍	|mj
🀎	|mj
🀏	|mj
🀐	|mj
🀑	|mj
🀒	|mj
🀓	|mj
🀔	|mj
🀕	|mj
🀖	|mj
🀗	|mj
🀘	|mj
🀙	|mj
🀚	|mj
🀛	|mj
🀜	|mj
🀝	|mj
🀞	|mj
🀟	|mj
🀠	|mj
🀡	|mj
🀢	|mj
🀣	|mj
🀤	|mj
🀥	|mj
🀦	|mj
🀧	|mj
🀨	|mj
🀩	|mj
🀪	|mj
🀫	|mj
　	|so
⚀	|sz
⚁	|sz
⚂	|sz
⚃	|sz
⚄	|sz
⚅	|sz
♠	|pk
♥	|pk
♣	|pk
♦	|pk
♤	|pk
♡	|pk
♧	|pk
♢	|pk
☻	|bq
☺	|bq
☹	|bq
☀	|tq
☁	|tq
⛅	|tq
⛈	|tq
⛆	|tq
☂	|tq
☔	|tq
☃	|tq
⛄	|tq
⛇	|tq
𝄞	|yy
♩	|yy
♪	|yy
♫	|yy
♬	|yy
♭	|yy
♮	|yy
♯	|yy
♂	|lx
♀	|lx
⚢	|lx
⚣	|lx
⚤	|lx
⚥	|lx
⚦	|lx
⚧	|lx
⚨	|lx
⚩	|lx
⚪	|lx
⚫	|lx
⚬	|lx
⚭	|lx
⚮	|lx
⚯	|lx
☰	|bg
☱	|bg
☲	|bg
☳	|bg
☴	|bg
☵	|bg
☶	|bg
☷	|bg
䷀	|lssg
䷁	|lssg
䷂	|lssg
䷃	|lssg
䷄	|lssg
䷅	|lssg
䷆	|lssg
䷇	|lssg
䷈	|lssg
䷉	|lssg
䷊	|lssg
䷋	|lssg
䷌	|lssg
䷍	|lssg
䷎	|lssg
䷏	|lssg
䷐	|lssg
䷑	|lssg
䷒	|lssg
䷓	|lssg
䷔	|lssg
䷕	|lssg
䷖	|lssg
䷗	|lssg
䷘	|lssg
䷙	|lssg
䷚	|lssg
䷛	|lssg
䷜	|lssg
䷝	|lssg
䷞	|lssg
䷟	|lssg
䷠	|lssg
䷡	|lssg
䷢	|lssg
䷣	|lssg
䷤	|lssg
䷥	|lssg
䷦	|lssg
䷧	|lssg
䷨	|lssg
䷩	|lssg
䷪	|lssg
䷫	|lssg
䷬	|lssg
䷭	|lssg
䷮	|lssg
䷯	|lssg
䷰	|lssg
䷱	|lssg
䷲	|lssg
䷳	|lssg
䷴	|lssg
䷵	|lssg
䷶	|lssg
䷷	|lssg
䷸	|lssg
䷹	|lssg
䷺	|lssg
䷻	|lssg
䷼	|lssg
䷽	|lssg
䷾	|lssg
䷿	|lssg
⚊	|txj
⚋	|txj
⚌	|txj
⚍	|txj
⚎	|txj
⚏	|txj
𝌀	|txj
𝌁	|txj
𝌂	|txj
𝌃	|txj
𝌄	|txj
𝌅	|txj
𝌆	|txj
𝌇	|txj
𝌈	|txj
𝌉	|txj
𝌊	|txj
𝌋	|txj
𝌌	|txj
𝌍	|txj
𝌎	|txj
𝌏	|txj
𝌐	|txj
𝌑	|txj
𝌒	|txj
𝌓	|txj
𝌔	|txj
𝌕	|txj
𝌖	|txj
𝌗	|txj
𝌘	|txj
𝌙	|txj
𝌚	|txj
𝌛	|txj
𝌜	|txj
𝌝	|txj
𝌞	|txj
𝌟	|txj
𝌠	|txj
𝌡	|txj
𝌢	|txj
𝌣	|txj
𝌤	|txj
𝌥	|txj
𝌦	|txj
𝌧	|txj
𝌨	|txj
𝌩	|txj
𝌪	|txj
𝌫	|txj
𝌬	|txj
𝌭	|txj
𝌮	|txj
𝌯	|txj
𝌰	|txj
𝌱	|txj
𝌲	|txj
𝌳	|txj
𝌴	|txj
𝌵	|txj
𝌶	|txj
𝌷	|txj
𝌸	|txj
𝌹	|txj
𝌺	|txj
𝌻	|txj
𝌼	|txj
𝌽	|txj
𝌾	|txj
𝌿	|txj
𝍀	|txj
𝍁	|txj
𝍂	|txj
𝍃	|txj
𝍄	|txj
𝍅	|txj
𝍆	|txj
𝍇	|txj
𝍈	|txj
𝍉	|txj
𝍊	|txj
𝍋	|txj
𝍌	|txj
𝍍	|txj
𝍎	|txj
𝍏	|txj
𝍐	|txj
𝍑	|txj
𝍒	|txj
𝍓	|txj
𝍔	|txj
𝍕	|txj
𝍖	|txj
☄	|tt
☼	|tt
☽	|tt
☾	|tt
☿	|tt
♀	|tt
♁	|tt
♂	|tt
♃	|tt
♄	|tt
♅	|tt
♆	|tt
♇	|tt
♈	|xz
♉	|xz
♊	|xz
♋	|xz
♌	|xz
♍	|xz
♎	|xz
♏	|xz
♐	|xz
♑	|xz
♒	|xz
♓	|xz
★	|xh
☆	|xh
⛤	|xh
⛥	|xh
⛦	|xh
⛧	|xh
✡	|xh
❋	|xh
❊	|xh
❉	|xh
❈	|xh
❇	|xh
❆	|xh
❅	|xh
❄	|xh
❃	|xh
❂	|xh
❁	|xh
❀	|xh
✿	|xh
✾	|xh
✽	|xh
✼	|xh
✻	|xh
✺	|xh
✹	|xh
✸	|xh
✷	|xh
✶	|xh
✵	|xh
✴	|xh
✳	|xh
✲	|xh
✱	|xh
✰	|xh
✯	|xh
✮	|xh
✭	|xh
