⺀	[⺀,,部首補充,U+2E80]
⺁	[,,部首補充,U+2E81]
⺂	[乛,,部首補充,U+2E82]
⺃	[⺃,,部首補充,U+2E83]
⺄	[乛,,部首補充,U+2E84]
⺅	[亻,,部首補充,U+2E85]
⺆	[,,部首補充,U+2E86]
⺇	[,,部首補充,U+2E87]
⺈	[,,部首補充,U+2E88]
⺉	[⺉,,部首補充,U+2E89]
⺊	[,,部首補充,U+2E8A]
⺋	[㔾,,部首補充,U+2E8B]
⺌	[,,部首補充,U+2E8C]
⺍	[,,部首補充,U+2E8D]
⺎	[兀,,部首補充,U+2E8E]
⺏	[八儿,,部首補充,U+2E8F]
⺐	[尢,,部首補充,U+2E90]
⺑	[八几,,部首補充,U+2E91]
⺒	[巳,,部首補充,U+2E92]
⺓	[幺,,部首補充,U+2E93]
⺔	[彑,,部首補充,U+2E94]
⺕	[彐,,部首補充,U+2E95]
⺖	[忄,,部首補充,U+2E96]
⺗	[⺗,,部首補充,U+2E97]
⺘	[𘠲,,部首補充,U+2E98]
⺙	[攵,,部首補充,U+2E99]
⺛	[旡,,部首補充,U+2E9B]
⺜	[二,,部首補充,U+2E9C]
⺝	[,,部首補充,U+2E9D]
⺞	[夕,,部首補充,U+2E9E]
⺟	[母,,部首補充,U+2E9F]
⺠	[民,,部首補充,U+2EA0]
⺡	[氵,,部首補充,U+2EA1]
⺢	[氺,,部首補充,U+2EA2]
⺣	[灬,,部首補充,U+2EA3]
⺤	[爫,,部首補充,U+2EA4]
⺥	[⺥,,部首補充,U+2EA5]
⺦	[丬,,部首補充,U+2EA6]
⺧	[,,部首補充,U+2EA7]
⺨	[犭,,部首補充,U+2EA8]
⺩	[⺩,,部首補充,U+2EA9]
⺪	[,,部首補充,U+2EAA]
⺫	[罒,,部首補充,U+2EAB]
⺬	[⺬,,部首補充,U+2EAC]
⺭	[礻,,部首補充,U+2EAD]
⺮	[,,部首補充,U+2EAE]
⺯	[⺯,,部首補充,U+2EAF]
⺰	[纟,,部首補充,U+2EB0]
⺱	[㐅,,部首補充,U+2EB1]
⺲	[罒,,部首補充,U+2EB2]
⺳	[冖八,,部首補充,U+2EB3]
⺴	[冖儿,,部首補充,U+2EB4]
⺵	[,,部首補充,U+2EB5]
⺶	[⺶,,部首補充,U+2EB6]
⺷	[,,部首補充,U+2EB7]
⺸	[⻀干,,部首補充,U+2EB8]
⺹	[耂,,部首補充,U+2EB9]
⺺	[⺺,,部首補充,U+2EBA]
⺻	[⺻,,部首補充,U+2EBB]
⺼	[⺼,,部首補充,U+2EBC]
⺽	[⺽,,部首補充,U+2EBD]
⺾	[卄,,部首補充,U+2EBE]
⺿	[⺿,,部首補充,U+2EBF]
⻀	[⻀,,部首補充,U+2EC0]
⻁	[虍几,,部首補充,U+2EC1]
⻂	[衤,,部首補充,U+2EC2]
⻃	[西,,部首補充,U+2EC3]
⻄	[西,,部首補充,U+2EC4]
⻅	[见,,部首補充,U+2EC5]
⻆	[角,,部首補充,U+2EC6]
⻇	[冂仌,,部首補充,U+2EC7]
⻈	[讠,,部首補充,U+2EC8]
⻉	[贝,,部首補充,U+2EC9]
⻊	[,,部首補充,U+2ECA]
⻋	[车,,部首補充,U+2ECB]
⻌	[辶,,部首補充,U+2ECC]
⻍	[辶,,部首補充,U+2ECD]
⻎	[辶,,部首補充,U+2ECE]
⻏	[阝,,部首補充,U+2ECF]
⻐	[钅,,部首補充,U+2ED0]
⻑	[⻑,,部首補充,U+2ED1]
⻒	[镸,,部首補充,U+2ED2]
⻓	[长,,部首補充,U+2ED3]
⻔	[门,,部首補充,U+2ED4]
⻕	[丿𮍌,,部首補充,U+2ED5]
⻖	[阝,,部首補充,U+2ED6]
⻗	[,,部首補充,U+2ED7]
⻘	[龶,,部首補充,U+2ED8]
⻙	[韦,,部首補充,U+2ED9]
⻚	[页,,部首補充,U+2EDA]
⻛	[乂,,部首補充,U+2EDB]
⻜	[飞,,部首補充,U+2EDC]
⻝	[亽艮,,部首補充,U+2EDD]
⻞	[⻞,,部首補充,U+2EDE]
⻟	[⻟,,部首補充,U+2EDF]
⻠	[饣,,部首補充,U+2EE0]
⻡	[巛丆目,,部首補充,U+2EE1]
⻢	[马,,部首補充,U+2EE2]
⻣	[骨,,部首補充,U+2EE3]
⻤	[厶,,部首補充,U+2EE4]
⻥	[鱼,,部首補充,U+2EE5]
⻦	[鸟,,部首補充,U+2EE6]
⻧	[囗乂,,部首補充,U+2EE7]
⻨	[龶夂,,部首補充,U+2EE8]
⻩	[龷由八,,部首補充,U+2EE9]
⻪	[口电,,部首補充,U+2EEA]
⻫	[齐二,,部首補充,U+2EEB]
⻬	[文,,部首補充,U+2EEC]
⻭	[止米凵,,部首補充,U+2EED]
⻮	[止人凵,,部首補充,U+2EEE]
⻯	[立,,部首補充,U+2EEF]
⻰	[龙,,部首補充,U+2EF0]
⻱	[乂,,部首補充,U+2EF1]
⻲	[日电,,部首補充,U+2EF2]
⻳	[,,部首補充,U+2EF3]
⼀	[一,,康熙部首,U+2F00]
⼁	[丨,,康熙部首,U+2F01]
⼂	[丶,,康熙部首,U+2F02]
⼃	[丿,,康熙部首,U+2F03]
⼄	[乛,,康熙部首,U+2F04]
⼅	[丨,,康熙部首,U+2F05]
⼆	[二,,康熙部首,U+2F06]
⼇	[亠,,康熙部首,U+2F07]
⼈	[人,,康熙部首,U+2F08]
⼉	[儿,,康熙部首,U+2F09]
⼊	[入,,康熙部首,U+2F0A]
⼋	[八,,康熙部首,U+2F0B]
⼌	[,,康熙部首,U+2F0C]
⼍	[冖,,康熙部首,U+2F0D]
⼎	[冫,,康熙部首,U+2F0E]
⼏	[几,,康熙部首,U+2F0F]
