zpo	丶
xpo	口
xpo	
xpo	
xpo	〇
xpo	
yfu	勹
yfu	
yfu	
l;w	亻
l;w	
zsu	白
bdo	寸
ksw	辶
,dw	
,dw	
,dw	
,dw	
/sr	又
/sr	
/sr	龴
/sr	
.ar	一
npw	土
npw	
nar	扌
nar	
nar	𰀁
nar	
nar	
nar	𘠲
nar	󱣣
nar	󲟎
nar	𘠩
ssu	木
ssu	朩
ssu	
ssu	
ssu	㝳
ssu	𣎳
cvu	匕
cvu	
cvu	
cvu	
h;w	日
h;w	
mcw	心
fdo	十
fdo	
fdo	
k;w	讠
mmo	刂
mmo	
mmo	
mmo	
mmo	
mmo	
mmo	⺉
mmo	𘮖
gsu	女
gsu	
m;w	氵
;aw	大
;aw	
vjo	是
.,w	力
.,w	
czo	禾
czo	
czo	
hfo	人
,ao	宀
anr	子
apu	厶
apu	
z;o	阝
/ko	
jao	不
gkw	工
dju	
dju	彡
dju	⺀
dju	
dju	
dju	𘡂
dju	
dju	𘬀
dju	󲻝
dju	𰀪
qgo	王
qgo	
qgo	
qgo	⺩
d;o	纟
d;o	
f;w	可
;;r	丿
t,u	火
t,u	灬
t,u	
t,u	
t,u	
vco	攵
vco	攴
vkw	巾
vkw	
s;r	你
t.w	也
vvu	
vvu	
vvu	𠮛
dlw	丨
/zr	贝
b,w	牛
b,w	牜
b,w	
jaw	旦
tno	月
tno	
tno	円
pvr	冂
pvr	冖
pvr	
pvr	
pvr	
pvr	
pvr	
fmw	云
fmw	
fmw	𠫓
fmw	
fmw	󰂫
fmw	
bvu	丰
bvu	龶
bvu	
bvu	丯
y;u	艹
y;u	廾
y;u	丱
y;u	⻀
y;u	卄
y;u	⺿
y;u	
y;u	󰓯
y;u	𫡃
y;u	
d,r	门
far	戈
far	{戈无一}
far	
bzo	兴
bzo	
bzo	
bzo	
bzo	𰃮
bzo	󰅄
bzo	
cpu	㐅
cpu	𘱌
cpu	乂
cpu	乄
cpu	𘠘
,vo	冫
,vo	
,vo	
,vo	
,vo	
adu	文
gho	了
gho	𠄏
d/u	
;vo	囗
cmu	丷
;so	我
tqo	小
tqo	
tqo	
tqo	
tqo	
tqo	𡭔
cyu	兄
zzu	
zzu	
/ko	竹
/ko	
/ko	
llw	斤
llw	
kau	西
kau	覀
kau	襾
qvu	田
jfr	夂
jfr	夊
str	页
yaw	犬
yaw	犭
ppw	忄
ppw	
ppw	⺗
ppw	
ppw	󰍒
ppw	㣺
ppw	󳖶
ztu	欠
yxo	中
yxo	𘯉
c;o	目
xfu	彳
lqu	卩
lqu	㔾
lqu	
lqu	
lqu	卪
lqu	𭅲
ptw	艮
ptw	
bho	广
bho	
.hr	刀
.hr	
/aw	开
/aw	
c.u	车
c.u	
;hu	乛
xco	至
jyr	羊
jyr	
jyr	
jyr	
jyr	
jyr	⺶
vpu	耳
hlw	见
glu	生
ypo	聿
ypo	
ypo	
ypo	
ypo	⺺
ypo	
ypo	
ypo	肀
ypo	⺻
ypo	󰧳
ypo	󰈡
ypo	󱌱
dhr	八
dhr	
q;r	而
jso	上
sfo	殳
nar	几
nar	
nar	
kqo	吕
kqo	吅
kqo	
jzw	里
ngo	者
gyo	儿
,cw	矢
jto	用
jto	
mqr	方
zko	己
zko	
syo	且
syo	
pso	其
djw	去
kaw	合
gmr	厂
gmr	
hkw	手
hkw	龵
hkw	
hkw	
hkw	
zvu	尢
zvu	兀
zvu	丌
zvu	
zvu	󰘆
dzw	角
g;w	此
jbo	多
,aw	立
,aw	
v;w	自
qbo	衣
qbo	
qbo	
qbo	
qbo	
qbo	
spo	夕
/qw	彐
/qw	
/qw	
/qw	𬺹
jzo	二
b;w	来
xdr	礻
xdr	衤
shu	舌
shu	
x;u	隹
.bo	正
vgo	石
hqr	糸
hqr	幺
hqr	⺯
hqr	糹
bjw	马
bjw	
fkr	片
fkr	丬
fkr	
fkr	
fkr	爿
fkr	
fkr	
fkr	
fkr	
alr	廴
dxo	各
hxo	本
fsw	
fsw	
fsw	
fsw	
hgo	京
hdr	果
fqu	更
aao	钅
daw	乍
;ku	米
;ku	
;ku	𠂭
;ku	󱹐
;ku	󳦲
ajr	相
qqr	䒑
qqr	
qqr	󰦙
jlr	弋
jlr	
;/o	占
mtr	止
mtr	
mtr	龰
mtr	
mtr	
lpu	雨
lpu	
jpw	弓
jpw	𢎜
;vw	直
vno	尸
vno	
vno	
vno	
vno	
vno	
vno	
vno	
jmu	虫
jmu	
jmu	󲴢
jmu	𘯊
jmu	𠀐
fku	卜
fku	
slr	主
flw	下
flw	󰷣
/zw	示
/zw	⺬
/zw	𱍐
tau	关
hzr	士
ygu	尚
ygu	
ygu	龸
,/r	万
,/r	{成三}
g;u	壬
g;u	𡈼
.lr	豕
.lr	乑
.lr	
.lr	豸
.lr	𬺻
.lr	
.lr	𧰧
.lr	𬺷
cqu	言
v.w	行
jpr	水
jpr	氺
jpr	
jpr	
jpr	
jpr	
jpr	
qfu	元
bsw	音
bsw	󲨣
qpr	出
aco	巴
smr	业
pxu	高
pxu	
pxu	
pxu	
pxu	󰂗
pxu	󰂘
pxu	⾼
cno	玉
kqr	古
t/w	祭
t/w	
t/w	
t/w	癶
t/w	
t/w	
s,w	分
kvr	交
.gw	走
tpu	先
mpr	亼
mpr	亽
fnr	内
nkr	戉
nkr	戊
nkr	
pao	户
yvw	
b.w	只
spr	
spr	耂
gpr	足
gpr	
/ao	疒
zcr	
bzu	母
sdu	四
sdu	罒
sdu	
tyr	共
zxr	丂
zxr	
zxr	
v,w	定
qto	夫
jlr	发
hao	天
nto	㐄
nto	
nto	
nto	
nto	𫝀
nto	󰆃
nto	𘲐
zbw	井
zbw	
kju	甬
qyw	皿
yqr	⺃
,jr	㠯
,jr	
,jr	𮍌
,jr	
fjw	比
fjw	
hqo	皮
hqo	
s;w	亠
vjw	戶
vjw	戸
vjw	
acu	凵
acu	丩
acu	
acu	𠙴
acu	𠂈
qlw	化
bcu	及
bpw	非
pfu	之
dku	夬
knr	匚
knr	
knr	
knr	匸
knr	
knr	
knr	𠥓
cxo	娄
jkr	面
;qr	亥
hqu	廿
hqu	龷
hqu	
hqu	
vlr	今
/vu	
/vu	
/vu	
