	{斜玉}
	{临字旁}
	{举字底}
	{寿字头}
	{与无横}
	{禺字底}
	{享字头}
	{候右角}
	{可字框}
	{叚右角}
	{充字头}
	{养字头}
	{冒字头}
	{冬字底}
	{函字心}
	{制字旁}
	{免五}
	{化字边}
	{北字旁}
	{半旁}
	{临右角}
	{卖字头}
	{南字心}
	{南字框}
	{卢字头}
	{飮字旁}
	{卯字旁}
	{印字旁}
	{即字旁}
	{歺头无横}
	{卵字旁}
	{祭右角}
	{负字头}
	{卸字旁}
	{寒字腰带八}
	{丝左角}
	{反字框}
	{变字头}
	{叟字头}
	{后字框}
	{向字框}
	{告字头}
	{周字框}
	{叚字旁}
	{丧字头}
	{囱字框}
	{在字框}
	{墼左角}
	{鬲字心}
	{眉字框}
	{壳字头}
	{夏字头}
	{夜下角}
	{妻字头}
	{姊字边}
	{叚字边}
	{得下角}
	{无三}
	{定字底}
	{寅字腰}
	{寒字头}
	{寡字腰}
	{尚字头}
	{尧字头}
	{局字框}
	{展字心}
	{差字头}
	{大框}
	{师字旁}
	{带无巾}
	{应字心}
	{庚字心}
	{庸字心}
	{延字心}
	{弟省}
	{彀左角}
	{木框}
	{虫无口}
	{发二}
	{德右角}
	{带字头}
	{恭字底}
	{惠字头}
	{戢字框}
	{立无横}
	{扁字心}
	{杨字边}
	{卬字旁}
	{报字边}
	{永无点}
	{拜字边}
	{牜无丨}
	{拣字边}
	{凸无横}
	{商字头}
	{敖字旁}
	{凹无横}
	{敢字旁}
	{帝字头}
	{丙三}
	{春字头}
	{曹字头}
	{曾字头}
	{左字框}
	{卑六}
	{朗字旁}
	{叚字旁无二}
	{拣字边无七}
	{争字底}
	{妻字头无横}
	{甩字心}
	{临下角}
	{囊字头}
	{步字底}
	{武字框}
	{段字旁}
	{湽上角}
	{纵两撇}
	{卧人}
	{比字旁}
	{辰字心}
	{韦无二}
	{乍字底}
	{非字旁}
	{旅下角}
	{荒字底}
	{非字边}
	{芈二}
	{尞字头}
	{然左角}
	{焉字底}
	{熏字头}
	{爰字底}
	{木无十}
	{飞无折}
	{刀中}
	{羲下框}
	{璺字头框}
	{甬字底}
	{畏字底带横}
	{留上角}
	{重字框}
	{畿字框}
	{疏字旁}
	{屯无横}
	{美字头}
	{盥右角}
	{盥左角}
	{其字头无横}
	{睾字头}
	{歺头}
	{具字头无横}
	{钅字底}
