U+2E80..U+2EF3	部首補充
U+2F00..U+2FD5	康熙部首
U+3007..U+31E5	汉字笔画
U+337B..U+337F	兼容字符
U+F900..U+FAD9	兼容文字
U+2F800..U+2FA1D	兼容補充
U+3400..U+4DBF	CJK-A
U+4E00..U+9FFF	CJK-basic
U+16FF2..U+16FF3	儿化小字
U+20000..U+2A6DF	CJK-B
U+2A700..U+2B73F	CJK-C
U+2B740..U+2B81D	CJK-D
U+2B820..U+2CEAD	CJK-E
U+2CEB0..U+2EBE0	CJK-F
U+2EBF0..U+2EE5D	CJK-I
U+30000..U+3134A	CJK-G
U+31350..U+323AF	CJK-H
U+323B0..U+33479	CJK-J
U+17000..U+187F7	西夏文
U+18800..U+18AFF	西夏文部件
U+18B00..U+18CD5	契丹小字
U+18CFF..U+18CFF	契丹小字
U+18D00..U+18D1E	西夏文补充
U+2FF0..U+2FFF	汉字结构
U+3105..U+312F	注音符号
U+31A0..U+31BF	注音扩展
