⺼	rou
〇	ling
㐀	qiu
㐁	tian
㐂	xi
㐃	ma
㐄	kua
㐅	wu
㐆	yi
㐆	yin
㐌	si
㐌	ta
㐌	yi
㐎	wen
㐖	ye
㐜	chou
㐡	nuo
㐡	ru
㐤	dan
㐤	qiu
㐧	di
㐨	xu
㐩	xing
㐪	hai
㐫	xiong
㐬	liu
㐭	lin
㐮	xiang
㐯	yong
㐰	xin
㐱	zhen
㐲	dai
㐲	fu
㐳	wu
㐴	pan
㐵	ru
㐶	si
㐷	ma
㐷	mian
㐸	ci
㐸	qian
㐹	qi
㐹	yi
㐺	yin
㐺	zhong
㐻	nei
㐼	cheng
㐼	zheng
㐽	feng
㐾	yuan
㑀	tai
㑁	zhuo
㑂	fang
㑂	pang
㑃	ao
㑄	wu
㑅	zuo
㑆	fan
㑆	xiong
㑆	yi
㑇	zhou
㑈	dong
㑉	su
㑊	yi
㑋	jiong
㑋	kong
㑋	qiong
㑌	kuang
㑌	wang
㑍	lei
㑎	nao
㑏	zhu
㑐	shu
㑑	za
㑑	zan
㑒	jian
㑓	jun
㑔	xu
㑕	hui
㑖	zhong
㑗	shen
㑘	jie
㑙	die
㑙	yong
㑚	nuo
㑛	su
㑜	chi
㑜	yi
㑝	long
㑞	ying
㑟	beng
㑟	bo
㑟	peng
㑠	shu
㑡	ji
㑢	jue
㑣	lan
㑤	miao
㑥	yi
㑦	li
㑧	ji
㑨	yu
㑩	luo
㑪	chai
㑫	qi
㑬	gu
㑭	bi
㑭	pi
㑮	hun
㑮	wen
㑯	xu
㑰	hui
㑱	rao
㑲	bei
㑲	nan
㑳	zhou
㑴	qin
㑵	han
㑵	ji
㑵	jie
㑵	zha
㑵	zi
㑶	xi
㑷	tai
㑸	ai
㑸	yao
㑸	you
㑹	hui
㑺	jun
㑺	zun
㑻	ma
㑼	lve
㑽	tang
㑾	xiao
㑾	yao
㑿	zhao
㒀	zha
㒀	zhai
㒁	yu
㒁	yun
㒂	ku
㒂	zhuo
㒃	er
㒄	nang
㒄	nen
㒄	ran
㒅	qi
㒆	chi
㒆	ke
㒆	xi
㒆	xiao
㒆	yan
㒇	mu
㒇	wu
㒈	han
㒉	tang
㒊	se
㒋	si
㒌	qiong
㒍	lei
㒎	sa
㒎	tan
㒏	han
㒐	xun
㒑	hui
㒑	kui
㒒	pu
㒓	ta
㒔	du
㒔	shu
㒔	tu
㒕	yang
㒖	ou
㒗	tai
㒘	shu
㒙	mian
㒚	wen
㒚	yin
㒛	diao
㒜	yu
㒝	mie
㒝	wa
㒞	jun
㒞	ke
㒟	niao
㒠	xie
㒡	you
㒢	yue
㒣	ying
㒤	che
㒤	she
㒥	feng
㒦	lei
㒧	li
㒨	xian
㒩	luo
㒪	xi
㒫	ji
㒬	wang
㒭	kun
㒮	hui
㒯	ye
㒰	quan
㒱	meng
